Specialty,Sub-Specialty,Areas of Expertise,Center Name (Where Physician Sees Patients),Location,Address,City,Zip Code,Physician First Name,Physician Last Name,Is the Physician Accepting New Patients (Y/N)?,Languages Spoken by the Physician
GI Surgery,Colorectal Surgery,Colon & Rectal surgery; IBD surgery; Diverticulitis; Pelvic floor,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Neil,Hyman,N,English
Heart & Vascular,Vascular Surgery,"Renal Artery Disease, Abdominal Aortic Aneurysms, Mesenteric Artery Disease, Carotid Artery Disease, Aortic Disease, Peripheral Arterial Disease",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Trissa,Babrowski,Y,English
GI Surgery,Surgical Oncology (GI Cancers),Pancreas; Hepatobiliary Diseases; Gastrointestinal cancers,UChicago Medicine Orland Park,Orland Park,14290 S. La Grange Rd.,"Orland Park, IL",60462,Mitchell,Posner,Y,English
Heart & Vascular,Vascular Surgery,"Renal Artery Disease, Abdominal Aortic Aneurysms, Mesenteric Artery Disease, Carotid Artery Disease, Aortic Disease, Peripheral Arterial Disease",UChicago Medicine at Ingalls - Flossmoor,Ingalls - Flossmoor,19550 Governors Hwy.,"Flossmoor, IL",60422,Trissa,Babrowski,Y,English
Gastroenterology,Gastroenterology (Advanced Endoscopy),Endoscopic ultrasound (EUS); ERCP; Pancreatobiliary disease; Complex polypectomy,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Uzma,Siddiqui,Y,English
Gastroenterology,Gastroenterology (Advanced Endoscopy),Endoscopic ultrasound (EUS); ERCP; Pancreatobiliary disease; Complex polypectomy,UChicago Medicine Orland Park,Orland Park,14290 S. La Grange Rd.,"Orland Park, IL",60462,Uzma,Siddiqui,N,English
Heart & Vascular,Cardiac Surgery,"Ventricular Assist Devices (VADs), Heart Transplant, Valvuloplasty, Heart Failure, Artificial Hearts, Minimally Invasive Cardiac Surgery, Bloodless Heart Surgery",UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Valluvan,Jeevanandam,Y,"English, Tamil"
Heart & Vascular,Cardiac Electrophysiology,Catheter Ablation; Pacemakers & Defibrillators; Atrial Fibrillation; Ventricular Tachycardia,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Zaid,Aziz,Y,English
Heart & Vascular,Cardiac Electrophysiology,Catheter Ablation; Pacemakers & Defibrillators; Atrial Fibrillation; Ventricular Tachycardia,UChicago Medicine Orland Park,Orland Park,14290 S. La Grange Rd.,"Orland Park, IL",60462,Zaid,Aziz,Y,English
GI Surgery,Colorectal Surgery,Colon & Rectal Surgery; IBD Surgery; Minimally Invasive & Robotic Surgery,UChicago Medicine Duchossois Center for Advanced Medicine - Hyde Park,Hyde Park,5758 S. Maryland Ave.,"Chicago, IL",60637,Shane,Dalton,Y,English
